Id,SBQQ__Group__c
a6CDo0000012LppMAE,a6ADo000000snZqMAI
a6CDo0000012LpqMAE,a6ADo000000snZqMAI
a6CDo0000012LprMAE,a6ADo000000snZqMAI
a6CDo0000012LpsMAE,a6ADo000000snZqMAI
a6CDo0000012LptMAE,a6ADo000000snZqMAI
a6CDo0000012LpuMAE,a6ADo000000snZqMAI
a6CDo0000012LpvMAE,a6ADo000000snZqMAI
a6CDo0000012LpwMAE,a6ADo000000snZqMAI
a6CDo0000012LpxMAE,a6ADo000000snZqMAI
a6CDo0000012LpyMAE,a6ADo000000snZqMAI
a6CDo0000012LpzMAE,a6ADo000000snZqMAI
a6CDo0000012Lq0MAE,a6ADo000000snZqMAI
a6CDo0000012Lq1MAE,a6ADo000000snZqMAI
a6CDo0000012Lq2MAE,a6ADo000000snZqMAI
a6CDo0000012Lq3MAE,a6ADo000000snZqMAI
a6CDo0000012Lq4MAE,a6ADo000000snZqMAI
a6CDo0000012Lq5MAE,a6ADo000000snZqMAI
a6CDo0000012Lq6MAE,a6ADo000000snZqMAI
a6CDo0000012Lq7MAE,a6ADo000000snZqMAI
a6CDo0000012Lq8MAE,a6ADo000000snZqMAI
a6CDo0000012Lq9MAE,a6ADo000000snZqMAI
a6CDo0000012LqAMAU,a6ADo000000snZqMAI
a6CDo0000012LqBMAU,a6ADo000000snZqMAI
a6CDo0000012LqCMAU,a6ADo000000snZqMAI
a6CDo0000012LqDMAU,a6ADo000000snZqMAI
a6CDo0000012LqEMAU,a6ADo000000snZqMAI
a6CDo0000012LqFMAU,a6ADo000000snZqMAI
a6CDo0000012LqGMAU,a6ADo000000snZqMAI
a6CDo0000012LqHMAU,a6ADo000000snZqMAI
a6CDo0000012LqIMAU,a6ADo000000snZqMAI
a6CDo0000012LqJMAU,a6ADo000000snZqMAI
a6CDo0000012LqKMAU,a6ADo000000snZqMAI
a6CDo0000012LqLMAU,a6ADo000000snZqMAI
a6CDo0000012LqMMAU,a6ADo000000snZqMAI
a6CDo0000012LqPMAU,a6ADo000000snZqMAI
a6CDo0000012LqQMAU,a6ADo000000snZqMAI
a6CDo0000012LqRMAU,a6ADo000000snZqMAI
a6CDo0000012LqSMAU,a6ADo000000snZqMAI
a6CDo0000012LqTMAU,a6ADo000000snZqMAI
a6CDo0000012LqUMAU,a6ADo000000snZqMAI
a6CDo0000012LqVMAU,a6ADo000000snZqMAI
a6CDo0000012LqWMAU,a6ADo000000snZqMAI
a6CDo0000012LqXMAU,a6ADo000000snZqMAI
a6CDo0000012LqYMAU,a6ADo000000snZqMAI
a6CDo0000012LqZMAU,a6ADo000000snZqMAI
a6CDo0000012LqaMAE,a6ADo000000snZqMAI
a6CDo0000012LqbMAE,a6ADo000000snZqMAI
a6CDo0000012LqnMAE,a6ADo000000snZqMAI
a6CDo0000012LqoMAE,a6ADo000000snZqMAI
a6CDo0000012LqpMAE,a6ADo000000snZqMAI
a6CDo0000012LqqMAE,a6ADo000000snZqMAI
a6CDo0000012LqrMAE,a6ADo000000snZqMAI
a6CDo0000012LqsMAE,a6ADo000000snZqMAI
a6CDo0000012LqtMAE,a6ADo000000snZqMAI
a6CDo0000012LquMAE,a6ADo000000snZqMAI
a6CDo0000012LqvMAE,a6ADo000000snZqMAI
a6CDo0000012LqwMAE,a6ADo000000snZqMAI
a6CDo0000012LqxMAE,a6ADo000000snZqMAI
a6CDo0000012LqyMAE,a6ADo000000snZqMAI
a6CDo0000012LqzMAE,a6ADo000000snZqMAI
a6CDo0000012Lr0MAE,a6ADo000000snZqMAI
a6CDo0000012Lr1MAE,a6ADo000000snZqMAI
a6CDo0000012Lr2MAE,a6ADo000000snZqMAI
a6CDo0000012Lr3MAE,a6ADo000000snZqMAI
a6CDo0000012Lr9MAE,a6ADo000000snZqMAI
a6CDo0000012LrAMAU,a6ADo000000snZqMAI
a6CDo0000012LrFMAU,a6ADo000000snZqMAI
a6CDo0000012LrHMAU,a6ADo000000snZqMAI
a6CDo0000012LrIMAU,a6ADo000000snZqMAI
a6CDo0000012LrKMAU,a6ADo000000snZqMAI
a6CDo0000012LrLMAU,a6ADo000000snZqMAI
a6CDo0000012LrMMAU,a6ADo000000snZqMAI
a6CDo0000012LrNMAU,a6ADo000000snZqMAI
a6CDo0000012LrOMAU,a6ADo000000snZqMAI
a6CDo0000012LrPMAU,a6ADo000000snZqMAI
a6CDo0000012LrTMAU,a6ADo000000snZqMAI
a6CDo0000012LrUMAU,a6ADo000000snZqMAI
a6CDo0000012LrbMAE,a6ADo000000snZqMAI
a6CDo0000012LrcMAE,a6ADo000000snZqMAI
a6CDo0000012LrdMAE,a6ADo000000snZqMAI
a6CDo0000012LreMAE,a6ADo000000snZqMAI
a6CDo0000012LrfMAE,a6ADo000000snZqMAI
a6CDo0000012LrgMAE,a6ADo000000snZqMAI
a6CDo0000012LrhMAE,a6ADo000000snZqMAI
a6CDo0000012LriMAE,a6ADo000000snZqMAI
a6CDo0000012LrjMAE,a6ADo000000snZqMAI
a6CDo0000012LrtMAE,a6ADo000000snZqMAI
a6CDo0000012LruMAE,a6ADo000000snZqMAI
a6CDo0000012LrvMAE,a6ADo000000snZqMAI
a6CDo0000012LrwMAE,a6ADo000000snZqMAI
a6CDo0000012LrxMAE,a6ADo000000snZqMAI
a6CDo0000012LryMAE,a6ADo000000snZqMAI
a6CDo0000012LrzMAE,a6ADo000000snZqMAI
a6CDo0000012Ls0MAE,a6ADo000000snZqMAI
a6CDo0000012Ls1MAE,a6ADo000000snZqMAI
a6CDo0000012Ls2MAE,a6ADo000000snZqMAI
a6CDo0000012Ls4MAE,a6ADo000000snZqMAI
a6CDo0000012Ls5MAE,a6ADo000000snZqMAI
a6CDo0000012LsBMAU,a6ADo000000snZqMAI
a6CDo0000012LsCMAU,a6ADo000000snZqMAI
a6CDo0000012LsDMAU,a6ADo000000snZqMAI
a6CDo0000012LsEMAU,a6ADo000000snZqMAI
a6CDo0000012LsFMAU,a6ADo000000snZqMAI
a6CDo0000012LsOMAU,a6ADo000000snZqMAI
a6CDo0000012LsVMAU,a6ADo000000snZqMAI
a6CDo0000012LsWMAU,a6ADo000000snZqMAI
a6CDo0000012LsXMAU,a6ADo000000snZqMAI
a6CDo0000012LsiMAE,a6ADo000000snZqMAI
a6CDo0000012LskMAE,a6ADo000000snZqMAI
a6CDo0000012LslMAE,a6ADo000000snZqMAI
a6CDo0000012LsoMAE,a6ADo000000snZqMAI
a6CDo0000012LspMAE,a6ADo000000snZqMAI
a6CDo0000012LsqMAE,a6ADo000000snZqMAI
a6CDo0000012LsvMAE,a6ADo000000snZqMAI
a6CDo0000012LswMAE,a6ADo000000snZqMAI
a6CDo0000012LsxMAE,a6ADo000000snZqMAI
a6CDo0000012LsyMAE,a6ADo000000snZqMAI
a6CDo0000012LszMAE,a6ADo000000snZqMAI
a6CDo0000012Lt0MAE,a6ADo000000snZqMAI
a6CDo0000012Lt1MAE,a6ADo000000snZqMAI
a6CDo0000012Lt3MAE,a6ADo000000snZqMAI
a6CDo0000012Lt4MAE,a6ADo000000snZqMAI
a6CDo0000012Lt6MAE,a6ADo000000snZqMAI
a6CDo0000012LtFMAU,a6ADo000000snZqMAI
a6CDo0000012LtIMAU,a6ADo000000snZqMAI
a6CDo0000012LtJMAU,a6ADo000000snZqMAI
a6CDo0000012LtKMAU,a6ADo000000snZqMAI
a6CDo0000012LtLMAU,a6ADo000000snZqMAI
a6CDo0000012LtMMAU,a6ADo000000snZqMAI
a6CDo0000012LtNMAU,a6ADo000000snZqMAI
a6CDo0000012LtOMAU,a6ADo000000snZqMAI
a6CDo0000012LtPMAU,a6ADo000000snZqMAI
a6CDo0000012LtQMAU,a6ADo000000snZqMAI
